SiteName,SiteCode,Classification,OC,Region,Province,DeviceName,DeviceIP,EventInDateTime,EventOutDateTime,AlarmDescription,RawValue
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,100,524,400.00","2,021,070,100,581,500.00",MER Value,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,100,524,400.00","2,021,070,100,581,500.00",BB Frames Error After BCH,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,100,524,400.00","2,021,070,100,581,500.00",AGC Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,100,524,400.00","2,021,070,100,581,500.00",MPEG Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,309,252,800.00","2,021,070,309,310,100.00",BB Frames Error After BCH,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,309,252,800.00","2,021,070,309,310,100.00",AGC Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,309,252,800.00","2,021,070,309,310,100.00",Dvbt2 Level,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,309,252,800.00","2,021,070,309,310,100.00",MPEG Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,309,252,800.00","2,021,070,309,310,100.00",MER Value,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,211,091,200.00","2,021,070,211,144,700.00",Dvbt2 Level,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,211,091,200.00","2,021,070,211,144,700.00",MPEG Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,310,095,500.00","2,021,070,310,153,000.00",BB Frames Error After BCH,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,310,095,500.00","2,021,070,310,153,000.00",AGC Locked,0
AURORA,C1.10,Bronze,Cape Town,Western Region,Western Cape,Aurora - DVMS1 Mux1,010.128.124.087,"2,021,070,310,095,500.00","2,021,070,310,153,000.00",MER Value,0
