National Site ;;;;
Operation Centre;Region;Provence;Type TX;Site Name
;Western Region;Northern Cape;High Power;POFADDER
;Western Region;Northern Cape;Gap Filler;UPINGTON TOWN
;;;;
Vredendal;Western Region;Northern Cape;Low Power;ALEXANDER BAY
;Western Region;Northern Cape;Low Power;ALEXANDER BAY
;Western Region;Northern Cape;High Power;GARIES
;Western Region;Northern Cape;High Power;SPRINGBOK
;Western Region;Western Cape;High Power;VANRHYNSDORP
;;;;
Vryburg;Western Region;North West;High Power;CHRISTIANA
;Western Region;North West;Gap Filler;ENZELSBERG
;Western Region;North West;High Power;GANYESA
;Western Region;North West;Gap Filler;GROOT MARICO
;Western Region;North West;Low Power;MADIBOGO
;Western Region;North West;Low Power;MOTSWEDI
;Western Region;North West;High Power;PIET PLESSIS
;Western Region;North West;High Power;PIET PLESSIS
;Western Region;North West;High Power;POMFRET
;Western Region;North West;High Power;SCHWEIZER RENEKE
;Western Region;North West;High Power;SCHWEIZER RENEKE
;Western Region;North West;Low Power;SUPINGSTAD
;Western Region;North West;Gap Filler;SWARTRUGGENS
;Western Region;North West;Low Power;TAUNG
;Western Region;North West;High Power;ZEERUST
;Western Region;North West;High Power;ZEERUST
